OrderID,CustomerName,Gender,Email,Phone,Product,Category,SubCategory,Quantity,UnitPrice,Total revenue,TotalAmount,OrderDate,ShipDate,Region,PaymentMode,City,State
ORD101311,Casey  Dutta,Male,casey.@mailinator.com,9186759929,Butter Naan,Food,Bread,5,314,942,1570,23-11-2026,06-08-2193,West,Card,Lucknow,Uttar Pradesh
ORD103565,QUINN Chaudhary,Non-Binary,quinn.@gmail.com,Not Found,Mango Smoothie,Beverages,Smoothie,6,987.97,4939.85,5927.82,22-06-2023,21-08-2024,North,Online,Kolkata,West Bengal
ORD103160,Charlie Dutta,Female,charliegmailcom,-7548694441,Paneer Wrap ,Food,Wrap,2,753.12,753.12,1506.24,22-10-2022,18-10-2025,West,Cash,Chennai ,Tamil Nadu
ORD102648,ROWAN Nair,Non-Binary,rowan.@company.co,8519045934 ext 514,Cheese Fries,Food,Sides,4,557.92,1673.76,2231.68,05-05-2023,18-09-2023,West,Online,Lucknow,Uttar Pradesh
ORD100376,Charlie singh,Unknown,charlie.@yahoo.com,(709) 6153966,Latte,Beverages,Coffee,5,415.57,831.14,2077.85,11-02-2023,11-01-2025,East,Card,Bengaluru,Karnataka
ORD101549,cameron Kapoor,Female,cameron38@company.co,9651295050 ext 425,Veg Burger ,Food,Burger,2,340.02,1700.1,680.04,07-04-2023,14-01-2026,Centar,Online,Jaipur,Rajasthan 
ORD101915,charlie Agarwal Jr,Female,charlie.x@hotmail.com,6046720722,Pepperoni Pizza ,Food,Pizza,5,784.73,3923.65,3923.65,20-09-2023,12-11-2023,West,Cash,Mumbai,Maharashtra
ORD104286,CASEY Kapoor,Unknown,casey.12@mailinator.com,-2827502832,Latte,Beverages,Coffee,1,487.87,487.87,487.87,23-04-2026,08-03-2025,East,Card,Lucknow,Uttar Pradesh
ORD101744,Jordan  Patel,Female,jordan.12@gmail.com,(842) 9858968,Margherita Pizza,Food,Pizza,6,333.5,667,2001,24-07-2026,null,North,Online,Mumbai,Maharashtra
ORD100316,RILEY Desai,Female,riley71@company.co,-6124128912,Veg Burger,Food,Burger,1,401.44,2007.2,401.44,30-06-2025,11-12-2026,North,Online,Ahmedabad,Gujarat
ORD104667,charlie Khan,Male,charlie.@outlook.com,8055769980 ext 765,Pepperoni Pizza,Food,Pizza,5,754.21,2262.63,3771.05,06-09-2026,05-01-2026,West,Online,Lucknow,Uttar Pradesh
ORD100098,Skyler Kapoor,Male,skyler79@yahoo.com,9079223686 ext 182,Butter Naan,Food,Bread,6,1021.92,6131.52,6131.52,08-09-2024,06-07-2023,North,Card,Jaipur,Rajasthan
ORD100941,Jamie  Nath,Female,jamie@hotmail.com,7732483992,Coke 500Ml,Beverages,Soft Drink,6,920.45,3681.8,5522.7,09-02-2026,10-12-2025,North,Online,Nagpur,Maharashtra
ORD103753,Jamie desai,Female,jamie60@example.com,6528913909,Margherita Pizza,Food,Pizza,2,738.03,2952.12,1476.06,26-01-2025,16-12-2024,South,Cash,Jaipur,Rajasthan
ORD104952,Drew nath,Unknown,drewgmail.com,+91 7705785161,Veg Burger,Food,Burger,5,566.71,1133.42,2833.55,21-05-2022,07-04-2025,South,Cash,Kolkata ,West Bengal 
ORD102051,LEE Agarwal,Male,lee.@outlook.com,Not Found,Cheese Fries,Food,Sides,1,710.47,3552.35,710.47,12-12-2026,05-07-2025,North,Card,Delhi,Delhi
ORD100333,kai Khan,Male,kai.12@mailinator.com,+91 6229935482,Mango Smoothie,Beverages,Smoothie,5,103.44,517.2,517.2,10-11-2025,24-10-2023,Centar,Cash,Nagpur ,Maharashtra
ORD102634,Robin  Joshi,Male,robin.@mailinator.com,9277410491,Pepperoni Pizza,Food,Pizza,3,1072.1,5360.5,3216.3, null,29-11-2025,South,UPI,Lucknow,Uttar Pradesh 
ORD101032,Avery gupta,Non-Binary,avery.x@example.com,6555108663 ext 275,Espresso,Beverages,Coffee,1,127.12,635.6,127.12,01-12-2023,21-01-2025,East,Card,Jaipur ,Rajasthan 
ORD102843,Alex Nath,Non-Binary,alex.x@outlook.com,-9435500363,Coke 500Ml,Beverages,Soft Drink,4,988,5928,3952,10-05-2026,03-07-2025,South,Cash,Mumbai ,Maharashtra
ORD102342,Lee agarwal,Female,leegmailcom,8069768038,Margherita Pizza,Food,Pizza,4,1028,4112,4112,12-07-2025,16-06-2025,North,Online,Delhi ,Delhi
ORD104442,Morgan Verma Jr,Non-Binary,morgan22@gmail.com,+91 6086373209,Coke 500Ml,Beverages,Soft Drink,5,790.82,3954.1,3954.1,16-11-2024,14-06-2025,Centar,Online,Lucknow,Uttar Pradesh 
ORD101997,Kai chaudhary,Unknown,kai.@example.com,(715) 3453452,Mango Smoothie,Beverages,Smoothie,1,737.99,1475.98,737.99,07-08-2025,20-07-2024,Centar,Online,Hyderabad,Telangana 
ORD104654,Avery gupta,Non-Binary,avery.x@outlook.com,-5097581723,Orange Juice,Beverages,Juice,6,320.76,1603.8,1924.56,27-04-2027,10-02-2025,West,Cash,Pune,Maharashtra
ORD104294,CAMERON Sharma,Male,cameron40@yahoo.com,+91 7818225507,Margherita Pizza,Food,Pizza,2,936.6,3746.4,1873.2,20-04-2025,09-09-2179,East,UPI,Bengaluru,Karnataka 
ORD103542,Cameron  Dutta,Male,cameron53@outlook.com,+91 9259179556,Espresso,Beverages,Coffee,1,1090.4,1090.4,1090.4,24-12-2022,10-01-2024,Centar,Cash,Nagpur ,Maharashtra
ORD101891,Jesse  Joshi,Male,jesse.@gmail.com,-1424676622,Chocolate Cake,Desert,Cake,3,634.35,1268.7,1903.05,03-08-2023,13-09-2023,East,Online,Hyderabad,Telangana
ORD102688,Cameron  Chaudhary,Unknown,cameron.x@hotmail.com,-9067743087,Pepperoni Pizza,Food,Pizza,5,623.56,1247.12,3117.8,11-08-2025,09-12-2023,North,Online,Lucknow ,Uttar Pradesh 
ORD101140,KAI Chaudhary,Female,Not Found,7765148062,Garlic Bread,Food,Sides,1,665.21,1995.63,665.21,26-06-2024,03-11-2023,North,Online,Pune,Maharashtra
ORD102856,SKYLER Kulkarni,Male,skyler.@yahoo.com,9511284339,Veg Burger,Food,Burger,3,699.64,3498.2,2098.92,29-03-2025,15-03-2023,East,Online,Kolkata,West Bengal 
ORD100825,LEE Chaudhary,Female,lee@mailinator.com,9852876315,Latte ,Beverages,Coffee,2,709.17,2127.51,1418.34,05-01-2023,03-08-2026,North,Cash,Lucknow,Uttar Pradesh
ORD102288,Cameron Rao,Female,cameron.@mailinator.com,6613421431,Coke 500Ml,Beverages,Soft Drink,5,1049.6,1049.6,5248,18-11-2025,17-10-2022,North,Cash,Bengaluru,Karnataka
ORD103265,casey Singh,Male,casey.x@outlook.com,93170,Mango Smoothie,Beverages,Smoothie,5,687,3435,3435,08-08-2023,05-01-2025,West,Cash,Ahmedabad,Gujarat
ORD102476,kris Verma,Male,kris.x@mailinator.com,9520775138,Tandoori Chicken,Food,Main,1,377.3,754.6,377.3,18-10-2022,08-01-2023,North,Online,Delhi,Delhi
ORD104615,quinn Dutta,Female,quinn.@yahoo.com,(878) 4073292,Paneer Wrap ,Food,Wrap,2,369.56,1847.8,739.12,20-12-2024,null,Centar,Online,Chenna1,Tamil Nadu
ORD103796,sasha Shah,Female,sasha.12@example.com,9272189760,Coke 500Ml,Beverages,Soft Drink,5,524.99,1574.97,2624.95,03-04-2026,05-07-2190,North,Online,Bengaluru,Karnataka 
ORD104651,Jamie Bose,Male,jamie.x@yahoo.com,(869) 9634643,Coke 500Ml,Beverages,Soft Drink,3,87.79,87.79,263.37,03-01-2023,10-03-2027,North,Online,Bengaluru,Karnataka
ORD104056,jamie Kulkarni,Non-Binary,jamie@.com,-2258763796,Chicken Burger,Food,Burger,6,1196.73,1196.73,7180.38,17-02-2025,15-05-2024,North,Card,Nagpur,Maharashtra 
ORD103535,Morgan Joshi,Female,morgan.@hotmail.com,-8988527639,Espresso,Beverages,Coffee,4,603.25,2413,2413,12-02-2026,17-03-2027,Centar,Online,Bengaluru ,Karnataka
ORD103003,QUINN Mehta,Non-Binary,quinn.@yahoo.com,78871,Tandoori Chicken,Food,Main,4,873.45,2620.35,3493.8,24-05-2026,19-04-2023,South,Online,Ahmedabad ,Gujarat 
ORD104706,QUINN Khan Jr,Non-Binary,quinn.x@hotmail.com,(910) 6970921,Mango Smoothie,Beverages,Smoothie,2,229.5,918,459,09-09-2025,11-05-2025,North,Cash,Kolkata ,West Bengal
ORD102878,harper Iyer,Non-Binary,harper.12@gmail.com,6722239121,Tandoori Chicken ,Food,Main,5,901.72,4508.6,4508.6, null,13-11-2023,Centar,UPI,Mumbai,Maharashtra 
ORD104287,kris Nath,Male,kris.@yahoo.com,-3147354888,Mango Smoothie,Beverages,Smoothie,5,936.83,1873.66,4684.15,04-06-2026,30-05-2024,North,Card,Delh1,Delhi
ORD102070,CHARLIE Dutta,Non-Binary,charlie.12@gmail.com,(679) 6658647,Orange Juice,Beverages,Juice,5,251.09,502.18,1255.45,21-09-2025,12-02-2026,North,Cash,Hyderabad,Telangana 
ORD104952,ROBIN Kulkarni,Female,robin19@mailinator.com,(931) 3772963,Cheese Fries,Food,Sides,5,1143.92,3431.76,5719.6,17-11-2023,30-12-2024,Centar,Online,Chennai,Tamil Nadu
ORD100910,Sam Dutta,Female,sam@example.com,8742339236 ext 973,Latte,Beverages,Coffee,6,706.59,4239.54,4239.54,06-06-2025,24-02-2025,North,Online,Chenna1,Tamil Nadu
ORD103634,Angel Chaudhary,Female,angel.x@yahoo.com,(902) 3129530,Cheese Fries,Food,Sides,4,152.08,760.4,608.32,15-09-2025,23-05-2026,South,Cash,Ja1Pur,Rajasthan
ORD101218,casey Verma,Male,casey@company.co,-6758607082,Margherita Pizza,Food,Pizza,5,1102.42,5512.1,5512.1,09-03-2022,02-11-2025,South,Online,Mumba1,Maharashtra
ORD104121,Charlie rao,Male,charliegmail.com,6428408439 ext 85,Cheese Fries,Food,Sides,2,1025.15,4100.6,2050.3,18-03-2023,23-11-2026,East,Online,Pune,Maharashtra
ORD100327,Devin verma,Male,devin.12@outlook.com,8294007227,Pepperoni Pizza ,Food,Pizza,5,460.25,1380.75,2301.25,25-06-2027,03-09-2022,South,UPI,Chennai,Tamil Nadu 
ORD103565,jesse Nair,Female,jesse.com,+91 9573959661,Tandoori Chicken ,Food,Main,4,840.41,3361.64,3361.64,27-07-2024,12-01-2026,East,UPI,Hyderabad ,Telangana
ORD100561,harper Verma,Female,harper.@mailinator.com,-8492178771,Coke 500Ml,Beverages,Soft Drink,1,960.4,1920.8,960.4,24-03-2025,27-03-2025,West,Online,Delhi ,Delhi
ORD100856,casey Joshi,Female,casey.x@company.co,-6240237496,Coke 500Ml,Beverages,Soft Drink,2,576.25,1728.75,1152.5,14-08-2024,04-07-2178,North,Online,Chennai ,Tamil Nadu
ORD100404,Harper bose,Female,harper.@hotmail.com,99242,Orange Juice,Beverages,Juice,2,996.64,1993.28,1993.28,17-04-2025,null,South,Card,Pune,Maharashtra
ORD101112,Cameron patel,Male,cameron25@outlook.com,Not Found,Espresso,Beverages,Coffee,3,561.89,2809.45,1685.67,20-04-2026,23-07-2026,South,Online,Kolkata ,West Bengal
ORD100126,DREW Chaudhary,Female,drew.x@company.co,78184,Pepperoni Pizza,Food,Pizza,5,925.34,5552.04,4626.7,17-12-2023,18-05-2024,North,Cash,Mumbai,Maharashtra
ORD100258,SKYLER Patel,Non-Binary,skyler@example.com,9114796986,Tandoori Chicken ,Food,Main,3,328.3,1641.5,984.9,07-02-2023,03-08-2025,North,Online,Ahmedabad ,Gujarat
ORD103888,JORDAN Khan,Male,jordan.x@hotmail.com,(728) 6113515,Cheese Fries,Food,Sides,1,964.45,5786.7,964.45,14-10-2025,null,North,Online,Lucknow,Uttar Pradesh
ORD100436,Morgan Kulkarni,Female,morgan.x@mailinator.com,6070194399,Latte,Beverages,Coffee,5,713,2852,3565,13-02-2026,12-01-2027,South,UPI,Chennai ,Tamil Nadu
ORD101321,Jesse  Agarwal,Unknown,jesse.x@example.com,8156968684,Veg Burger ,Food,Burger,2,1171.16,3513.48,2342.32,10-05-2024,28-03-2025,North,Online,Chenna1,Tamil Nadu
ORD102436,Jesse agarwal,Male,jesse.@hotmail.com,(659) 5485531,Chicken Burger,Food,Burger,5,660,660,3300,24-02-2023,19-04-2025,Centar,Online,Kolkata,West Bengal 
ORD101801,riley Joshi,Male,riley.@mailinator.com,-2315068463,Mango Smoothie,Beverages,Smoothie,3,727,2181,2181,16-05-2023,null,North,Online,Lucknow,Uttar Pradesh
ORD101449,AVERY Joshi,Unknown,avery.@mailinator.com,9967667176 ext 587,Coke 500Ml,Beverages,Soft Drink,1,603.92,1811.76,603.92,20-01-2025,16-07-2025,Centar,Online,Jaipur ,Rajasthan 
ORD100479,Skyler  Verma,Male,skyler.x@hotmail.com,9818886561,Garlic Bread ,Food,Sides,1,913.14,4565.7,913.14,29-11-2026,05-11-2026,East,Cash,Mumbai ,Maharashtra
ORD100673,Jamie  Agarwal,Non-Binary,jamie.@outlook.com,9212367816 ext 256,Veg Burger ,Food,Burger,4,159.78,319.56,639.12, null,07-04-2024,East,Online,Jaipur,Rajasthan
ORD104030,cameron Sharma,Male,cameron99@company.co,8590004214,Pepperoni Pizza,Food,Pizza,3,974.21,1948.42,2922.63,16-07-2026,29-03-2024,East,Online,Nagpur ,Maharashtra
ORD103763,Lee gupta,Male,lee.12@company.co,9632643539 ext 718,Espresso,Beverages,Coffee,4,232.02,232.02,928.08, null,13-06-2026,Centar,Cash,Nagpur,Maharashtra
ORD100100,Jesse  Desai,Female,jesse39@yahoo.com,+91 9312168268,Coke 500Ml,Beverages,Soft Drink,5,357.21,357.21,1786.05,21-08-2023,14-01-2023,North,Card,Delh1,Delhi
ORD104011,alex Desai,Female,alex@yahoo.com,8783295928,Veg Burger,Food,Burger,2,975.53,975.53,1951.06,06-02-2024,21-10-2026,South,Online,Bengaluru ,Karnataka
ORD104048,robin Sharma,Female,Not Found,(731) 1175907,Chocolate Cake,Desert,Cake,2,996.07,2988.21,1992.14,15-02-2023,04-04-2024,Centar,Cash,Nagpur,Maharashtra
ORD103173,robin Dutta,Female,robin.12@example.com,71643,Pepperoni Pizza,Food,Pizza,3,939.36,4696.8,2818.08,06-11-2024,null,South,Cash,Mumba1,Maharashtra
ORD103159,HARPER Rao,Female,harper.12@gmail.com,+91 9877125982,Veg Burger ,Food,Burger,6,885.94,3543.76,5315.64,24-10-2024,04-02-2026,North,Online,Ahmedabad,Gujarat
ORD104169,Jamie  Dutta,Male,Not Found,-8328225778,Espresso,Beverages,Coffee,5,1069.69,1069.69,5348.45,05-08-2025,15-03-2024,Centar,Cash,Jaipur ,Rajasthan
ORD101061,AVERY Mehta,Non-Binary,averygmail.com,-4067708439,Margherita Pizza,Food,Pizza,5,654.75,3273.75,3273.75,05-06-2025,28-06-2023,West,Online,Hyderabad,Telangana 
ORD103053,Angel bose,Male,angel.com,68939,Chocolate Cake,Desert,Cake,4,85.92,429.6,343.68,13-02-2024,22-05-2023,North,Cash,Lucknow ,Uttar Pradesh
ORD103666,Sasha Chaudhary,Female,sasha.x@hotmail.com,6148123278 ext 153,Chicken Burger,Food,Burger,3,950.58,4752.9,2851.74,08-09-2026,07-06-2024,West,UPI,Nagpur ,Maharashtra 
ORD103397,HARPER Mehta,Non-Binary,harper@gmail,9333080147,Tandoori Chicken,Food,Main,4,617.15,1851.45,2468.6,31-05-2026,28-04-2025,West,Online,Lucknow,Uttar Pradesh
ORD102554,Robin nath,Female,robin.x@outlook.com,6856313893,Orange Juice,Beverages,Juice,2,424.21,848.42,848.42,01-10-2023,null,South,Cash,Ahmedabad,Gujarat
ORD101777,Alex Sharma,Female,alex.12@example.com,9176750647 ext 209,Garlic Bread,Food,Sides,3,617.8,3089,1853.4,04-05-2025,22-03-2026,Centar,Cash,Nagpur,Maharashtra
ORD104181,RILEY Singh,Non-Binary,riley.x@mailinator.com,(600) 7459571,Pepperoni Pizza,Food,Pizza,2,352.64,1057.92,705.28,24-11-2025,07-03-2026,South,Cash,Lucknow,Uttar Pradesh 
ORD104294,Robin mehta,Female,robin.x@example.com,6739465697,Latte,Beverages,Coffee,5,836.03,2508.09,4180.15,24-11-2024,11-03-2026,Centar,Cash,Lucknow,Uttar Pradesh
ORD104548,Taylor Kulkarni,Female,taylor.12@yahoo.com,8199288315,Cheese Fries,Food,Sides,6,1148.61,5743.05,6891.66,27-05-2025,12-08-2026,South,Online,Ahmedabad,Gujarat
ORD102402,harper Nair Jr,Female,harper.x@mailinator.com,9432026301,Cheese Fries,Food,Sides,5,490.67,1962.68,2453.35,20-02-2025,25-03-2027,South,Online,Bengaluru,Karnataka
ORD103053,Jamie  Patel,Female,jamie.12@company.co,+91 7535888059,Coke 500Ml ,Beverages,Soft Drink,6,116.85,116.85,701.1,14-02-2023,21-09-2023,East,UPI,Kolkata ,West Bengal
ORD103226,Sam  Singh,Female,sam.x@gmail.com,+91 8243377690,Pepperoni Pizza,Food,Pizza,4,567.51,2837.55,2270.04,07-08-2027,27-10-2026,West,Online,Ahmedabad ,Gujarat
ORD101927,HARPER Desai,Female,harper.12@mailinator.com,8688171224,Margherita Pizza,Food,Pizza,3,371.65,3716.5,1114.95,20-09-2022,05-06-2027,Centar,Online,Hyderabad,Telangana
ORD100446,morgan Joshi,Non-Binary,morgan.@outlook.com,9794518776 ext 726,Pepperoni Pizza,Food,Pizza,1,581.08,3486.48,581.08,27-05-2022,21-04-2024,West,Cash,Hyderabad,Telangana
ORD100662,Riley Mehta,Male,riley.x@hotmail.com,76822,Tandoori Chicken,Food,Main,3,969.94,3879.76,2909.82,14-03-2024,11-01-2023,West,Online,Delh1,Delhi
ORD100758,rowan Agarwal,Female,rowan.@outlook.com,9235319689,Chicken Burger,Food,Burger,3,1171.67,4686.68,3515.01,19-08-2027,18-04-2024,East,Cash,Lucknow ,Uttar Pradesh
ORD104207,Casey nath,Female,casey.@gmail.com,80691,Paneer Wrap,Food,Wrap,5,649.17,2596.68,3245.85,26-08-2024,17-03-2026,South,Card,Pune,Maharashtra
ORD100229,riley Iyer,Female,riley@example.com,-2008109974,Latte,Beverages,Coffee,2,77.09,308.36,154.18,27-09-2024,null,North,Cash,Ahmedabad,Gujarat 
ORD102507,Kris Iyer,Female,Not Found,-6645963102,Latte,Beverages,Coffee,2,428.25,2569.5,856.5,16-10-2026,29-11-2023,Centar,Cash,Hyderabad ,Telangana 
ORD104406,Sasha Verma,Female,sasha.12@outlook.com,9041519887,Chocolate Cake,Desert,Cake,1,955.46,1910.92,955.46,20-06-2024,10-09-2275,South,UPI,Mumbai ,Maharashtra
ORD101288,CAMERON Sharma,Female,cameron.@gmail.com,7142738104 ext 589,Orange Juice,Beverages,Juice,1,893.07,3572.28,893.07,14-11-2023,09-03-2025,West,Online,Mumba1,Maharashtra
ORD104001,casey Mehta,Non-Binary,casey.12@example.com,6267526214 ext 574,Veg Burger,Food,Burger,1,222.12,1332.72,222.12,14-03-2025,05-10-2274,West,Online,Hyderabad,Telangana
ORD101132,jesse Agarwal,Unknown,jesse@gmail.com,(828) 2134244,Orange Juice ,Beverages,Juice,3,688.57,2754.28,2065.71,28-04-2023,24-11-2024,Centar,Online,Delhi,Delhi
ORD102123,Jesse  Gupta,Male,jesse.x@gmail.com,+91 8885417138,Chocolate Cake,Desert,Cake,5,648.67,3892.02,3243.35,16-10-2024,24-05-2027,North,Online,Delhi,Delhi
ORD101362,KAI Nath,Female,kai.x@company.co,Not Found,Pepperoni Pizza ,Food,Pizza,4,519.73,1559.19,2078.92,22-01-2022,07-07-2024,North,Online,Nagpur,Maharashtra 
ORD100205,Cameron  Sharma,Female,cameron.@outlook.com,7076704744,Chocolate Cake ,Desert,Cake,1,71.03,426.18,71.03,03-01-2026,18-12-2024,North,Online,Lucknow ,Uttar Pradesh
ORD101227,CHARLIE Kulkarni,Female,charlie@example.com,Not Found,Paneer Wrap,Food,Wrap,5,123.98,619.9,619.9,01-05-2025,03-11-2024,North,Online,Mumbai ,Maharashtra
ORD101529,Sam  Agarwal,Non-Binary,sam@.com,69931,Garlic Bread,Food,Sides,5,1102.58,2205.16,5512.9,09-06-2024,02-07-2024,North,Online,Kolkata,West Bengal
ORD102589,Lee Gupta,Unknown,lee.@outlook.com,6972784069,Margherita Pizza ,Food,Pizza,5,1138.82,3416.46,5694.1,06-01-2025,01-10-2026,North,Cash,Bengaluru ,Karnataka
ORD100369,Robin Dutta,Female,robin.@outlook.com,6187938720 ext 583,Margherita Pizza,Food,Pizza,3,105.46,421.84,316.38,08-09-2026,14-10-2024,North,Online,Ahmedabad,Gujarat
ORD104871,Robin iyer,Female,robin@example.com,-1782456014,Chocolate Cake ,Desert,Cake,2,515.46,2061.84,1030.92, null,17-02-2025,North,Cash,Lucknow,Uttar Pradesh 
ORD101656,Jordan  Kapoor,Unknown,jordan.x@outlook.com,-1312871440,Butter Naan,Food,Bread,5,1079.99,4319.96,5399.95,22-03-2025,01-06-2022,North,Online,Nagpur,Maharashtra
ORD103356,Harper Khan,Unknown,harper.x@company.co,9734494858 ext 338,Latte,Beverages,Coffee,3,168.39,673.56,505.17,04-07-2025,null,South,Card,Hyderabad,Telangana 
ORD104140,Rowan kulkarni,Non-Binary,rowan.12@mailinator.com,-9825694649,Mango Smoothie,Beverages,Smoothie,3,360.99,1804.95,1082.97,21-11-2023,04-04-2023,South,Cash,Delhi,Delhi
ORD103272,Devin  Singh,Female,devin.@outlook.com,Not Found,Tandoori Chicken,Food,Main,5,1083.63,3250.89,5418.15,10-09-2026,12-08-2270,East,UPI,Pune,Maharashtra
ORD102158,Charlie Kapoor,Unknown,charlie83@mailinator.com,-9365628788,Paneer Wrap,Food,Wrap,4,230.92,923.68,923.68,11-07-2022,17-08-2025,West,Cash,Kolkata,West Bengal
ORD104495,harper Iyer,Female,harper.12@mailinator.com,77144,Pepperoni Pizza,Food,Pizza,1,711.22,2133.66,711.22,11-09-2024,30-08-2024,East,UPI,Chennai,Tamil Nadu
ORD101154,Jesse Rao,Unknown,jesse.@yahoo.com,90986,Paneer Wrap ,Food,Wrap,5,579.94,3479.64,2899.7,27-04-2023,10-04-2023,East,Online,Mumbai,Maharashtra
ORD101714,Drew  Rao,Male,drew@hotmail.com,+91 9459726877,Paneer Wrap,Food,Wrap,10,644.44,644.44,6444.4,14-07-2023,20-02-2025,South,Cash,Chennai ,Tamil Nadu
ORD103723,Jamie bose,Unknown,Not Found,7628647045,Tandoori Chicken,Food,Main,6,102.23,306.69,613.38,17-05-2023,23-06-2026,North,Online,Hyderabad,Telangana
ORD101309,Jordan  Gupta,Male,jordan.x@hotmail.com,+91 9039518800,Orange Juice,Beverages,Juice,4,542.85,542.85,2171.4,12-06-2023,05-11-2022,Centar,UPI,Bengaluru,Karnataka 
ORD102354,jamie Sharma,Unknown,jamie.12@company.co,9816239110,Chicken Burger,Food,Burger,4,656.18,656.18,2624.72,11-12-2023,24-06-2024,Centar,Online,Ahmedabad,Gujarat 
ORD100903,Parker kapoor,Non-Binary,parker.@example.com,82086,Mango Smoothie,Beverages,Smoothie,4,868.68,5212.08,3474.72,22-07-2024,25-12-2024,North,Online,Delhi,Delhi
